Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
251-300,Universidade de São Paulo,Brazil,43.5—46.2,57.2,60.2,25.7,39.6,28.3
401-500,Universidade Estadual de Campinas,Brazil,32.6—37.5,44.9,39.6,28,46.5,24.1
601-800,Universidade Federal do ABC,Brazil,18.6—27.5,14.9,12.8,33.4,36.4,31.9
601-800,Universidade Federal de Minas Gerais,Brazil,18.6—27.5,30.6,14.3,25.5,33.6,22.7
601-800,Universidade Federal do Paraná,Brazil,18.6—27.5,24.3,23.9,8,32.1,17.2
601-800,Universidade Federal do Rio Grande do Sul,Brazil,18.6—27.5,31,10.8,23.9,32.1,21.5
601-800,Universidade Federal do Rio de Janeiro,Brazil,18.6—27.5,31.1,15.7,20.1,41.7,27.9
601-800,Universidade Federal de Santa Catarina,Brazil,18.6—27.5,25.3,12.4,20.1,54,24.4
601-800,Universidade Federal de São Paulo,Brazil,18.6—27.5,37.5,19.1,26.8,32.1,22.3
601-800,Pontifícia Universidade Católica do Rio Grande do Sul,Brazil,18.6—27.5,20.3,11.8,28.7,46.2,23.1
601-800,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,18.6—27.5,27.3,23.9,20.6,100,35.2
601-800,Universidade Estadual Paulista,Brazil,18.6—27.5,29.5,18.8,9.2,34.5,18.8
801+,Universidade Federal da Bahia,Brazil,8.3—18.5,18.5,5.2,14.4,1.1,22.2
801+,Universidade Federal do Ceará,Brazil,8.3—18.5,22.9,4.7,16.6,1.5,19.8
801+,Universidade Federal de Goiás,Brazil,8.3—18.5,17.4,7.1,14,32.1,18.9
801+,Universidade Federal de Pernambuco,Brazil,8.3—18.5,23.5,5,11.5,32.1,18.5
801+,Universidade Federal do Rio Grande do Norte,Brazil,8.3—18.5,20.9,8.2,10.6,44,18.5
801+,Universidade Federal de Santa Maria,Brazil,8.3—18.5,20.3,5,7.2,32.8,14.5
801+,Universidade Federal de São Carlos,Brazil,8.3—18.5,23,6.8,12.9,32.1,21.4
801+,Universidade Federal de Viçosa,Brazil,8.3—18.5,21.8,8.8,6.4,53.1,16.2
801+,Universidade Federal de Lavras,Brazil,8.3—18.5,31.9,14.2,5.1,43.7,14.9
801+,Universidade Federal Fluminense,Brazil,8.3—18.5,18.4,7.9,8.5,32.3,22.7
801+,Universidade Estadual de Londrina,Brazil,8.3—18.5,19.9,6.7,7.9,32.1,15.5
801+,Universidade Federal de Ouro Preto,Brazil,8.3—18.5,14.5,4.6,13.2,33.9,17.2
801+,Pontifícia Universidade Católica do Paraná,Brazil,8.3—18.5,14.4,8,24.6,33.9,19.3
801+,Universidade do Estado do Rio de Janeiro,Brazil,8.3—18.5,20.9,10.8,17.8,49.2,17.8
801+,Universidade Estadual de Maringá,Brazil,8.3—18.5,16.9,9.9,5.1,32.5,13.8
