Rank,Name,Country,Overall,Teaching,Research,Citations,Industry Income,International Outlook
1,Universidade de São Paulo,Brazil,84.6,92.4,99.8,59.9,44.5,57.3
2,Universidade Estadual de Campinas,Brazil,83.7,91.9,95.7,64.1,55.2,51.8
5,Universidade Federal do Rio de Janeiro,Brazil,73.3,85.1,77.7,55.8,47.8,52.7
6,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,70.5,62.7,81.4,64.8,100,63.9
7,Universidade Federal de Minas Gerais,Brazil,69.6,79.8,71,64.8,35.1,38
11,Universidade Estadual Paulista,Brazil,64,79.4,79.1,24.5,36.5,35.8
12,Universidade Federal de Santa Catarina,Brazil,61.9,70.9,64.9,46.3,66.2,45.4
16,Universidade Federal de Viçosa,Brazil,55.4,67.6,71.8,14.1,65,28.9
18,Universidade Federal do ABC,Brazil,52.7,44.7,43.7,84.3,39.4,52.5
20,Universidade do Estado do Rio de Janeiro,Brazil,52.4,61.5,54.3,41.4,59.4,27.1
21,Universidade Federal de Pernambuco,Brazil,52.3,69.6,48.7,39.8,32.7,25.8
22,Universidade Federal de Lavras,Brazil,50,65.3,63.1,10.4,50.9,22.8
23,Pontifícia Universidade Católica do Rio Grande do Sul,Brazil,48.6,43.7,43,72.1,54.7,33
26–30,Universidade Federal de Goiás,Brazil,40.2–44.2,52.7,45.4,35.6,32.7,24.6
26–30,Universidade Federal Fluminense,Brazil,40.2–44.2,48,43.5,26.9,33.1,40.6
31–35,Universidade Federal do Rio Grande do Norte,Brazil,37.1–39.6,43,46.3,25.9,51.4,25.9
31–35,Universidade Federal do Paraná,Brazil,37.1–39.6,42.2,42.5,25.6,32.7,25.4
31–35,Pontifícia Universidade Católica do Paraná,Brazil,37.1–39.6,28.4,25.6,78.1,35.6,26.4
36–40,Universidade Estadual de Londrina,Brazil,31.1–35.0,48.2,30.9,17,32.7,24.9
36–40,Universidade Estadual de Maringá,Brazil,31.1–35.0,31.7,45,11.8,33.3,20.9
46–50,Universidade Federal de Ouro Preto,Brazil,16.0–27.7,22.7,27.8,37.8,35.5,22
46–50,Universidade Nove de Julho,Brazil,16.0–27.7,26.1,19.6,26.3,33,21
46–50,Universidade do Vale do Rio dos Sinos,Brazil,16.0–27.7,28.1,25.5,6.2,34.5,27.2
